domain,ipv4,ipv6,all_ips,error
rpki.as207960.net,45.129.95.254,2a0e:1cc1:1::1:7,45.129.95.254;2a0e:1cc1:1::1:7,
akane.maru.co.jp,208.88.66.11,,208.88.66.11,
rpki.cc,45.79.147.88,,45.79.147.88,
rpki.cernet.net,202.112.53.106;101.4.62.130,2001:250:62:1::130;2001:da8:257:5310::106,202.112.53.106;101.4.62.130;2001:250:62:1::130;2001:da8:257:5310::106,
rpki.cernet.edu.cn,1.51.6.3,,1.51.6.3,
rpki.fiti.net.cn,202.112.53.106;118.229.43.115,2001:da8:257:5310::106;2001:253:fe::3,202.112.53.106;118.229.43.115;2001:da8:257:5310::106;2001:253:fe::3,
krill.immarket.space,,,,no records
rpki.blw.moe,194.36.24.101,2604:a840:2::5f5,194.36.24.101;2604:a840:2::5f5,
oto.wakuwaku.ne.jp,,,,no records
krill.rg.net,198.180.152.62,2001:418:3807::62,198.180.152.62;2001:418:3807::62,
krill.dacs.utwente.nl,192.87.172.46,2001:67c:2564:a173:250:56ff:fe85:e338,192.87.172.46;2001:67c:2564:a173:250:56ff:fe85:e338,
rpki.multacom.com,64.69.32.130,,64.69.32.130,
rpki.komorebi.network,139.99.123.148,2402:1f00:8001:394::beef:104,139.99.123.148;2402:1f00:8001:394::beef:104,
rpki-repo.registro.br,200.160.2.50,2001:12ff:0:2::50,200.160.2.50;2001:12ff:0:2::50,
rpki-pp.com,52.15.36.113,,52.15.36.113,
ca.rg.net,198.180.152.6,2001:418:3807::6,198.180.152.6;2001:418:3807::6,
rpki.roa.net,45.148.61.24,2a12:9080:5:17::a,45.148.61.24;2a12:9080:5:17::a,
rpki.apernet.io,141.164.40.93,2401:c080:1c01:6da:5400:2ff:fedc:c925,141.164.40.93;2401:c080:1c01:6da:5400:2ff:fedc:c925,
krill.signalx.cloud,,,,no records
krill.accuristechnologies.ca,96.126.104.114,2600:3c03::f03c:93ff:fe17:c5b3,96.126.104.114;2600:3c03::f03c:93ff:fe17:c5b3,
